#ev;y_rs;y_rsh;y_rx;y_rxd;y_dr01;y_dr1;y_dr5;y_dr10;y_dr20;y_dr30;y_dr50;y_drho;y_drjeg;y_drziv;y_dron
1901;606.0;77.0;29.0;1901-05-18;116;106;38;17;4;0;0;27;1;4;0
1902;683.6;100.3;28.6;1902-05-08;120;105;45;21;8;0;0;28;5;6;0
1903;605.2;36.6;32.7;1903-07-07;116;101;40;17;4;1;0;23;3;7;0
1904;403.0;68.2;34.2;1904-08-23;105;90;23;5;2;1;0;29;1;10;0
1905;578.7;51.1;27.2;1905-10-25;120;96;34;13;4;0;0;32;1;9;0
1906;709.9;184.7;23.6;1906-12-09;132;104;47;24;5;0;0;51;6;8;1
1907;469.8;97.6;24.8;1907-08-05;126;94;28;11;3;0;0;58;2;9;0
1908;565.3;198.9;22.8;1908-02-24;119;90;43;17;1;0;0;65;1;10;1
1909;588.2;86.3;30.3;1909-12-21;124;100;38;15;3;1;0;40;0;18;0
1910;597.7;91.8;30.1;1910-09-01;130;103;42;15;4;1;0;36;5;20;0
1911;426.4;89.3;41.3;1911-10-24;117;89;21;7;2;1;0;44;1;13;0
1912;773.9;139.9;64.7;1912-05-17;155;120;48;18;4;2;2;38;5;19;0
1913;586.1;86.8;34.2;1913-07-09;124;100;34;14;4;2;0;37;7;35;0
1914;584.4;23.5;29.1;1914-07-12;120;96;36;16;5;0;0;18;5;27;0
1915;874.2;113.0;37.3;1915-07-09;153;128;60;26;5;2;0;36;5;27;0
1916;650.0;43.1;35.4;1916-04-15;141;111;46;17;2;1;0;21;3;26;2
1917;368.8;69.0;22.8;1917-08-16;116;84;26;5;1;0;0;40;2;32;0
1918;605.9;87.4;42.0;1918-06-13;124;100;37;18;3;1;0;31;5;26;0
1919;781.9;107.8;38.8;1919-06-22;150;126;48;25;3;2;0;29;4;32;0
1920;674.9;98.0;40.4;1920-08-17;117;85;41;19;7;4;0;27;3;26;1
1921;422.9;62.2;22.3;1921-11-10;99;74;31;12;1;0;0;29;2;25;0
1922;729.1;161.4;40.4;1922-10-12;140;112;51;20;5;2;0;43;5;22;0
1923;433.5;62.6;27.7;1923-10-06;128;100;25;9;1;0;0;32;2;20;0
1924;530.4;65.4;27.5;1924-04-26;113;88;37;13;3;0;0;42;3;27;1
1925;662.3;61.7;42.7;1925-08-02;125;103;45;21;4;3;0;25;3;36;0
1926;606.3;40.2;29.0;1926-06-30;141;105;31;18;4;0;0;31;4;36;0
1927;738.6;69.5;54.0;1927-08-30;149;103;45;23;7;1;1;35;9;43;2
1928;507.6;69.6;30.2;1928-06-27;125;98;32;13;2;1;0;40;4;31;0
1929;441.4;56.9;24.5;1929-08-13;106;79;33;12;2;0;0;32;2;30;0
1930;516.7;40.9;23.0;1930-10-26;116;88;40;17;1;0;0;25;11;28;0
1931;516.1;115.2;26.8;1931-09-17;121;94;33;16;1;0;0;42;7;29;0
1932;444.4;43.1;29.3;1932-08-04;101;76;37;12;3;0;0;33;4;29;0
1933;697.8;72.2;61.6;1933-07-23;136;97;44;21;5;2;1;49;4;26;0
1934;341.4;17.1;26.7;1934-10-15;103;62;22;6;1;0;0;23;2;27;0
1935;411.1;89.6;23.2;1935-10-28;134;87;25;10;1;0;0;50;1;21;0
1936;674.7;13.2;31.1;1936-05-18;146;104;41;18;8;1;0;23;5;36;0
1937;676.3;78.4;45.3;1937-08-23;136;102;40;18;7;1;0;44;3;37;0
1938;620.1;92.2;65.7;1938-07-10;145;88;40;11;4;2;2;46;1;23;0
1939;607.0;13.0;48.6;1939-10-29;140;92;35;20;4;1;0;29;1;33;1
1940;757.2;178.1;25.8;1940-07-11;156;112;55;25;5;0;0;56;5;27;1
1941;755.5;69.4;40.1;1941-07-30;172;116;48;21;3;2;0;44;3;28;3
1942;476.2;101.9;41.9;1942-05-22;114;71;30;14;2;1;0;47;1;18;0
1943;523.3;74.8;44.6;1943-06-04;109;82;33;16;3;2;0;24;1;17;0
1944;771.9;99.8;36.9;1944-10-04;144;113;52;22;7;2;0;35;0;19;3
1945;579.4;88.8;41.0;1945-05-26;133;97;46;13;3;1;0;34;3;28;0
1946;378.5;18.3;23.8;1946-05-26;97;61;30;11;1;0;0;21;2;34;0
1947;454.4;86.7;35.6;1947-07-09;118;90;32;10;1;1;0;27;1;17;0
1948;559.1;48.8;36.7;1948-07-16;132;90;35;13;3;2;0;28;0;21;0
1949;650.5;35.0;53.7;1949-08-12;129;92;42;14;6;3;1;26;1;20;0
1950;573.8;73.1;49.2;1950-07-07;135;88;36;17;4;1;0;30;2;25;0
1951;517.7;26.2;55.0;1951-06-26;123;89;31;10;5;2;1;26;0;0;0
1952;658.8;154.2;32.3;1952-09-27;159;114;46;19;2;1;0;62;0;0;0
1953;476.7;51.4;36.2;1953-07-11;100;71;33;16;4;1;0;36;0;0;0
1954;585.2;64.4;29.2;1954-05-08;129;92;37;18;3;0;0;46;0;0;0
1955;657.9;105.0;28.9;1955-07-21;123;88;41;22;7;0;0;51;0;0;0
1956;501.4;99.2;29.8;1956-05-22;99;80;33;12;3;0;0;65;0;0;0
1957;501.4;42.8;24.7;1957-06-23;114;88;32;13;3;0;0;37;0;0;0
1958;569.7;133.3;45.9;1958-08-16;136;92;33;16;3;1;0;44;0;0;0
1959;473.3;31.3;34.7;1959-05-20;114;83;24;7;5;2;0;34;0;0;0
1960;551.3;53.6;48.3;1960-10-11;138;100;30;17;2;1;0;23;0;0;0
1961;321.4;56.8;31.2;1961-08-12;103;59;21;5;3;1;0;37;0;0;0
1962;401.3;92.7;29.3;1962-11-10;128;81;26;9;2;0;0;60;0;0;0
1963;542.6;116.6;34.0;1963-04-12;116;82;32;15;4;2;0;54;0;0;0
1964;479.5;60.7;43.3;1964-09-07;126;77;32;12;1;1;0;52;0;0;0
1965;765.1;123.1;37.5;1965-05-23;163;119;52;18;6;3;0;58;0;0;0
1966;632.9;93.1;24.8;1966-06-25;156;100;41;20;4;0;0;45;0;0;0
1967;519.8;87.2;55.0;1967-07-04;127;90;30;14;2;1;1;42;0;0;0
1968;485.0;51.6;35.0;1968-09-18;132;88;31;12;3;1;0;37;0;0;0
1969;576.0;117.0;50.8;1969-08-15;141;93;37;17;3;2;1;56;0;0;0
1970;953.2;133.8;80.3;1970-08-09;175;115;51;29;9;5;1;71;0;0;0
1971;413.5;88.1;21.9;1971-06-27;131;82;29;8;2;0;0;50;0;0;0
1972;434.5;10.4;25.1;1972-05-11;123;77;32;13;1;0;0;26;0;0;0
1973;406.9;33.6;52.0;1973-06-03;117;74;19;10;2;1;1;49;0;0;0
1974;698.0;61.4;59.0;1974-08-26;148;106;43;19;6;2;1;37;0;0;0
1975;637.0;40.7;53.6;1975-06-08;113;76;31;17;8;5;1;40;0;0;0
1976;532.8;90.1;56.8;1976-09-04;120;85;29;17;5;2;1;57;0;0;0
1977;620.2;119.6;70.0;1977-07-08;125;82;41;17;4;3;1;49;0;4;0
1978;601.8;75.8;35.2;1978-07-02;147;92;36;21;3;1;0;48;0;0;0
1979;595.3;63.9;45.4;1979-03-27;153;102;33;14;4;2;0;41;0;0;0
1980;775.1;84.1;62.5;1980-07-22;157;107;49;15;8;4;1;53;0;0;0
1981;617.3;96.0;51.8;1981-10-01;136;87;38;17;5;2;1;58;0;0;0
1982;550.2;90.3;38.5;1982-07-27;124;86;35;14;4;2;0;37;0;0;0
1983;534.3;44.7;24.4;1983-04-29;123;85;35;18;3;0;0;42;0;0;0
1984;607.1;82.0;33.8;1984-08-11;147;100;42;16;3;1;0;47;0;0;0
1985;674.3;84.7;35.7;1985-08-27;156;100;40;17;8;2;0;44;0;0;0
1986;419.3;106.5;21.2;1986-01-24;113;83;30;12;1;0;0;52;0;0;0
1987;589.4;116.8;27.4;1987-05-22;125;88;42;18;3;0;0;38;0;0;0
1988;539.1;91.2;41.9;1988-09-15;136;94;33;14;3;1;0;52;0;0;0
1989;570.5;27.9;40.7;1989-08-28;119;88;33;17;7;2;0;26;0;0;0
1990;459.6;38.9;31.0;1990-04-17;112;69;31;14;2;1;0;30;0;0;0
1991;597.3;89.1;24.6;1991-04-18;110;83;42;23;4;0;0;30;0;0;0
1992;390.5;40.4;26.0;1992-09-05;120;73;25;9;3;0;0;39;0;0;0
1993;513.7;87.8;23.7;1993-06-28;131;96;32;15;3;0;0;42;0;0;0
1994;447.0;75.3;22.3;1994-04-06;134;85;30;11;2;0;0;41;0;0;0
1995;520.8;102.3;33.6;1995-06-13;129;87;40;11;1;1;0;53;0;0;0
1996;581.0;72.2;39.4;1996-08-16;134;83;34;18;5;2;0;50;0;0;0
1997;422.6;26.1;59.8;1997-08-09;114;65;26;9;2;2;1;27;0;9;11
1998;626.3;28.2;41.5;1998-04-20;131;87;37;19;8;3;0;22;1;33;3
1999;672.8;178.4;35.0;1999-06-19;132;96;45;24;4;1;0;36;0;35;10
2000;435.0;37.3;40.9;2000-04-26;120;74;33;9;2;1;0;37;1;24;2
2001;586.4;38.0;33.2;2001-09-08;134;85;37;20;6;1;0;39;1;38;1
2002;531.1;27.1;53.9;2002-07-14;132;82;33;12;3;1;1;29;2;36;6
2003;521.3;71.1;48.3;2003-07-25;111;69;34;16;5;1;0;33;1;20;5
2004;691.9;61.7;53.9;2004-07-27;141;90;42;19;6;3;1;42;1;30;3
2005;639.9;70.0;36.6;2005-08-15;126;84;38;20;8;2;0;47;0;26;2
2006;633.0;59.0;65.3;2006-04-20;132;91;39;19;2;1;1;37;2;21;4
2007;550.7;11.0;50.2;2007-07-04;115;82;35;12;4;2;1;20;2;27;0
2008;551.1;30.3;34.7;2008-07-14;122;90;34;18;4;1;0;16;3;40;0
2009;484.6;74.6;34.7;2009-10-13;130;91;28;15;3;1;0;37;1;23;0
2010;844.8;102.5;33.3;2010-05-12;162;118;62;27;4;2;0;48;3;27;2
