    Time;     r;   tn;    t;   tx
19010101;   1.9; -9.2; -5.7; -0.4
19010102;   0.0;-11.3; -9.3; -6.6
19010103;   0.8;-10.8; -9.1; -6.6
19010104;   0.2;-12.4;-11.0; -9.8
19010105;   0.0;-15.5;-11.1; -9.0
19010106;   2.3;-13.8; -8.0; -6.0
19010107;   1.4; -6.9; -5.5; -3.0
19010108;   0.0;-12.4;-10.0; -5.9
19010109;   0.0;-15.9;-12.1; -9.0
19010110;   0.7;-16.9;-12.2; -9.8
19010111;   1.9;-13.5; -9.3; -7.6
19010112;   2.3; -9.0; -6.0; -4.3
19010113;   0.0; -8.0; -6.4; -2.5
19010114;   0.0;-11.4; -7.1; -2.6
19010115;   0.0;-12.1; -7.2; -1.1
19010116;   0.0;-10.2; -7.0; -2.6
19010117;   0.0;-12.2; -9.3; -5.5
19010118;   0.0;-11.4; -7.4; -3.0
19010119;   0.0;-11.8;-10.0; -5.0
19010120;   0.0;-11.3; -4.1; -2.8
19010121;   0.9; -5.7;  2.4;  5.4
19010122;   0.0;  2.5;  4.3;  5.6
19010123;   0.0;  3.0;  5.0;  7.5
19010124;   0.0; -1.4;  1.3;  5.6
19010125;   0.0; -2.0; -0.1;  1.8
19010126;   8.0; -1.9;  0.3;  3.0
19010127;   8.1;  1.0;  2.4;  3.2
19010128;   0.2; -1.0;  4.2;  6.9
19010129;   1.1;  0.0;  2.3;  4.8
19010130;   3.5; -1.0;  0.4;  2.6
19010131;   2.3; -2.9; -0.7;  1.2
19010201;   0.0; -3.8; -1.8;  0.7
19010202;   3.6; -2.5;  1.5;  3.5
19010203;   0.1;  1.0;  1.7;  3.8
19010204;   0.0; -0.7;  1.5;  3.7
19010205;   2.0; -0.7;  2.2;  4.3
19010206;   0.0;  2.4;  3.5;  5.7
19010207;   1.2;  1.2;  2.9;  6.8
19010208;   5.8;  0.5;  2.6;  3.5
19010209;   0.6; -0.1;  0.5;  4.7
19010210;   0.0; -2.8; -0.4;  3.3
19010211;   0.3; -3.2; -0.6;  0.6
19010212;   0.0; -5.9; -4.8;  1.0
19010213;   0.0; -8.8; -5.2; -2.0
19010214;   0.0; -7.0; -5.6; -3.2
19010215;   0.0;-10.0; -7.9; -4.5
19010216;   0.0;-10.8; -7.8; -5.0
19010217;   0.0;-11.4; -7.5; -4.5
19010218;   0.0; -8.4; -5.5; -2.5
19010219;   1.5; -8.0; -3.9; -1.5
19010220;   2.1; -5.0; -3.6; -2.5
19010221;   0.0; -8.7; -4.9; -2.2
19010222;   0.0;-10.5; -5.2; -1.0
19010223;   0.0;-12.8; -6.5; -1.4
19010224;   0.0; -8.1; -0.1;  2.0
19010225;   0.0; -1.5;  0.1;  3.1
19010226;   0.0; -2.8; -0.3;  2.7
19010227;   0.0; -4.9; -1.5;  1.0
19010228;   0.0; -5.7; -1.7;  1.5
19010301;   0.0; -3.3;  0.6;  3.5
19010302;   0.0;  0.0;  3.1;  5.8
19010303;  10.3;  2.8;  3.8;  4.8
19010304;  25.2;  0.0;  3.2;  4.8
19010305;   0.0;  2.3;  4.1;  5.9
19010306;   0.6;  1.6;  4.4;  7.5
19010307;   9.0;  0.2;  3.1;  5.0
19010308;   1.6;  2.2;  5.6;  8.6
19010309;   2.3;  3.3;  5.6;  8.6
19010310;   0.0;  0.6;  5.7;  8.7
19010311;   3.1;  3.4;  7.3;  8.5
19010312;   0.0;  5.7;  8.5; 12.0
19010313;   2.6;  2.6;  9.4; 13.0
19010314;   0.0;  6.2;  9.7; 12.7
19010315;   0.0;  3.3;  9.3; 14.5
19010316;   0.0;  6.6; 10.4; 14.8
19010317;   0.0;  5.0; 10.0; 14.3
19010318;   0.0;  6.2; 12.1; 16.1
19010319;   0.0;  9.3; 12.8; 18.0
19010320;   3.0;  7.0; 13.5; 17.0
19010321;   0.0;  8.4; 10.9; 16.5
19010322;   0.0;  0.2;  1.2;  8.6
19010323;   0.0; -0.5;  1.4;  3.3
19010324;   0.0;  0.6;  2.6;  5.3
19010325;   0.0;  0.2;  3.5;  5.5
19010326;   9.4;  2.9;  4.1;  6.5
19010327;   4.1; -0.1;  0.7;  3.6
19010328;   0.0; -1.0;  1.8;  4.7
19010329;   0.1; -0.4;  2.5;  5.0
19010330;   0.0; -0.6;  2.8;  7.1
19010331;   0.0;  0.5;  7.2; 12.7
19010401;   0.0;  3.6; 10.9; 17.7
19010402;   0.0;  5.8; 11.5; 16.0
19010403;   0.0;  9.4; 13.2; 17.5
19010404;   0.0;  7.5; 16.5; 22.3
19010405;   0.0;  9.0; 10.5; 18.5
19010406;   0.0;  7.2; 10.0; 13.5
19010407;   0.1;  4.2; 10.1; 14.0
19010408;   0.0;  9.3; 12.9; 17.2
19010409;   0.0;  8.5; 15.4; 21.0
19010410;   0.6; 12.3; 18.2; 23.6
19010411;   0.0;  9.5; 12.8; 18.3
19010412;   0.9;  9.2; 13.6; 19.2
19010413;  20.2;  5.2;  8.5; 14.0
19010414;   0.0;  4.1;  8.2; 11.6
19010415;   0.0;  6.0; 10.8; 16.0
19010416;  10.7;  7.1;  9.0; 14.6
19010417;   0.0;  5.3;  8.7; 13.0
19010418;   0.4;  4.7;  8.1; 11.7
19010419;   0.0;  4.1;  8.0; 11.5
19010420;   0.0;  6.2;  9.3; 14.6
19010421;   0.0;  7.0;  9.1; 12.0
19010422;   0.0;  5.5;  9.9; 14.1
19010423;   1.0;  6.6;  7.4; 11.0
19010424;   0.0;  6.2; 11.3; 15.6
19010425;   0.0;  8.5; 11.6; 15.7
19010426;   0.2;  5.5; 11.8; 17.6
19010427;   0.0; 11.2; 15.9; 21.1
19010428;   4.1; 11.5; 16.1; 22.2
19010429;   0.3; 11.5; 15.1; 21.5
19010430;   0.7; 11.4; 15.1; 21.0
19010501;   2.6; 11.2; 12.3; 15.1
19010502;   2.1; 10.5; 12.9; 17.5
19010503;   0.8; 10.0; 12.8; 19.8
19010504;   0.0;  9.8; 14.5; 21.0
19010505;   0.0; 10.0; 12.2; 18.4
19010506;   0.0;  7.2; 14.3; 19.8
19010507;   2.7; 10.0; 17.0; 22.0
19010508;   0.7; 12.0; 14.2; 18.0
19010509;   0.0; 11.0; 16.9; 22.7
19010510;   0.0; 12.5; 17.2; 23.4
19010511;   2.7; 13.7; 18.0; 23.6
19010512;   0.0; 14.3; 17.4; 22.9
19010513;   0.0; 11.2; 15.3; 22.0
19010514;   0.0; 10.0; 15.7; 21.5
19010515;   0.2; 10.4; 14.3; 20.0
19010516;   0.1; 10.5; 15.8; 22.0
19010517;   1.9; 11.2; 17.2; 24.7
19010518;   5.7; 12.0; 15.7; 20.9
19010519;   0.0; 12.1; 16.3; 23.5
19010520;   0.0; 11.0; 18.1; 24.1
19010521;   0.0; 14.8; 17.8; 24.0
19010522;   0.0; 10.9; 16.2; 21.0
19010523;   0.0; 12.0; 17.4; 22.2
19010524;   0.0; 14.0; 19.4; 25.5
19010525;  15.9; 14.6; 19.1; 23.2
19010526;   6.2; 16.0; 19.5; 27.0
19010527;   0.0; 15.8; 20.1; 23.5
19010528;   0.0; 15.5; 19.9; 24.5
19010529;   2.4; 15.0; 21.0; 25.6
19010530;   0.0; 15.0; 20.8; 27.5
19010531;   0.0; 16.5; 22.5; 30.5
19010601;   0.0; 17.9; 24.0; 30.5
19010602;   0.0; 19.2; 24.4; 29.5
19010603;   7.9; 19.5; 24.8; 31.5
19010604;   0.0; 18.5; 22.8; 27.9
19010605;   0.0; 17.0; 19.2; 24.0
19010606;   0.0; 16.8; 20.9; 27.5
19010607;   0.0; 17.1; 21.0; 25.8
19010608;   0.0; 16.5; 21.5; 27.5
19010609;   0.0; 15.2; 21.8; 28.5
19010610;   1.6; 16.1; 23.3; 30.1
19010611;  10.0; 18.0; 21.0; 27.7
19010612;   0.0; 19.0; 21.5; 26.5
19010613;   4.5; 15.2; 22.3; 27.4
19010614;   0.0; 14.2; 19.8; 25.0
19010615;   3.1; 18.0; 23.9; 29.0
19010616;   0.0; 14.1; 17.3; 25.0
19010617;   0.0; 11.5; 14.6; 19.1
19010618;   0.0; 11.2; 17.0; 20.5
19010619;   0.0; 13.2; 19.7; 24.0
19010620;   0.8; 17.2; 19.4; 23.4
19010621;   1.3; 13.5; 16.4; 20.6
19010622;  12.5; 14.2; 21.1; 28.0
19010623;   3.7; 17.0; 20.5; 26.0
19010624;   0.0; 17.8; 23.6; 29.4
19010625;   0.0; 19.8; 22.4; 25.9
19010626;   0.0; 16.0; 21.7; 26.0
19010627;   5.2; 15.5; 19.8; 24.8
19010628;   0.0; 15.7; 20.8; 25.5
19010629;   0.0; 15.5; 21.8; 27.8
19010630;   0.0; 17.0; 22.8; 29.5
19010701;   0.2; 17.5; 23.7; 27.2
19010702;   0.0; 18.0; 20.3; 24.2
19010703;  13.5; 14.5; 18.1; 20.0
19010704;   2.5; 16.1; 16.9; 18.9
19010705;   0.0; 15.9; 19.5; 25.3
19010706;   0.0; 15.5; 19.7; 25.0
19010707;   5.5; 15.0; 19.9; 27.6
19010708;   0.0; 15.0; 21.4; 28.2
19010709;   0.2; 16.2; 20.9; 27.0
19010710;   0.0; 17.1; 20.2; 26.0
