    Time;     r;   tn;    t;   tx
19010101;   2.2;-13.6;-11.7; -9.0
19010102;   3.0;-15.2;-11.1;-10.0
19010103;   0.0;-15.7;-13.0;-10.0
19010104;   0.0;-20.7;-17.4;-12.0
19010105;   0.0;-23.5;-14.8;-12.6
19010106;   6.4;-17.0; -9.9; -8.0
19010107;   0.0;-15.0;-11.5; -6.4
19010108;   0.0;-21.0;-16.0;-11.6
19010109;   0.0;-22.0;-18.6;-11.0
19010110;   0.0;-24.5;-18.4;-12.0
19010111;   0.0;-23.0;-16.4;-10.0
19010112;   7.4;-19.6; -8.0; -5.6
19010113;   0.0;-14.0; -6.2; -2.4
19010114;   0.0; -6.2; -4.1; -1.5
19010115;   0.0; -5.5; -2.7;  0.0
19010116;   0.0;-13.6; -8.9; -4.6
19010117;   0.0;-12.4;-10.5; -8.0
19010118;   0.0;-16.6;-12.5; -7.0
19010119;   0.0;-17.0;-11.0; -6.0
19010120;   0.0;-13.3; -6.1; -4.0
19010121;   2.3;-10.0; -2.7;  0.0
19010122;   0.0; -4.0;  0.5;  5.0
19010123;   0.0; -1.5;  0.3;  4.5
19010124;   0.0; -4.0; -0.9;  0.5
19010125;   0.0; -7.5; -3.0; -0.2
19010126;   0.0; -3.5; -2.5; -2.0
19010127;   3.1; -3.2;  0.4;  1.8
19010128;   7.5; -0.8;  1.8;  3.5
19010129;   3.2; -3.0;  0.4;  1.6
19010130;   1.6; -2.5; -0.9;  1.0
19010131;   2.4; -2.6; -0.8;  1.2
19010201;   7.9; -2.2; -1.4;  0.0
19010202;   0.0; -4.0;  2.2;  4.6
19010203;   0.0;  1.0;  1.8;  6.0
19010204;   5.0; -4.0;  0.8;  5.0
19010205;   0.0; -1.2;  2.0;  6.0
19010206;   0.0;  0.2;  2.9;  9.0
19010207;   0.0; -2.0; -0.3;  5.5
19010208;  15.3; -2.4;  0.9;  3.2
19010209;   3.6; -1.2;  0.1;  3.0
19010210;   0.0; -2.5; -0.7;  2.4
19010211;   3.7; -8.0; -3.4; -0.6
19010212;   0.0; -9.8; -8.0; -2.6
19010213;   0.0;-14.0; -7.9; -4.6
