#datum;y_rs;y_rsh;y_rx;y_rxd;y_dr01;y_dr1;y_dr5;y_dr10;y_dr20;y_dr30;y_dr50;y_drho;y_drjeg;y_drziv;y_dron
1901;740.2;138.2;37.0;1901-12-09;141;99;42;20;8;2;0;30;2;31;0
1902;715.5;122.6;27.2;1902-09-13;152;110;48;27;4;0;0;31;2;29;2
1903;733.0;92.0;40.0;1903-07-10;138;100;47;26;6;2;0;14;5;21;0
1904;705.5;71.9;44.1;1904-09-15;138;106;49;21;6;1;0;20;5;26;1
1905;752.9;97.2;30.9;1905-10-25;144;103;47;27;6;2;0;21;3;37;0
1906;931.6;179.5;41.6;1906-06-06;139;109;60;29;11;5;0;29;5;36;0
1907;516.0;60.8;26.7;1907-06-16;106;78;38;18;4;0;0;30;3;19;0
1908;625.9;174.1;38.0;1908-02-24;109;87;44;18;4;3;0;28;3;23;0
1909;770.8;71.8;46.5;1909-06-08;133;112;50;21;7;2;0;29;4;27;0
1910;834.8;73.8;46.5;1910-11-02;127;100;56;32;4;2;0;22;2;36;0
1911;625.1;55.9;40.9;1911-06-01;113;85;41;18;5;2;0;22;2;37;0
1912;778.0;110.0;36.0;1912-05-17;148;111;58;22;6;1;0;18;2;30;0
1913;647.1;60.4;26.0;1913-09-10;113;87;48;24;6;0;0;23;3;35;1
1914;765.2;64.5;48.6;1914-03-26;133;94;48;25;8;3;0;14;1;30;0
1915;877.2;65.7;42.2;1915-10-02;173;129;56;26;7;3;0;19;2;32;0
1916;639.2;71.5;27.8;1916-04-14;151;115;49;14;3;0;0;13;3;22;0
1917;519.0;153.0;30.2;1917-07-11;122;87;34;15;3;1;0;39;1;22;0
1918;628.2;105.2;31.4;1918-11-18;136;98;41;20;3;1;0;23;2;27;0
1919;901.1;128.5;54.7;1919-07-24;152;127;58;28;10;3;1;27;2;16;0
1920;656.2;74.4;41.0;1920-06-14;121;97;45;16;6;4;0;20;0;24;0
1921;436.6;80.3;22.7;1921-11-09;94;77;31;14;1;0;0;16;0;14;0
1922;786.4;40.0;37.3;1922-10-08;127;101;51;26;8;3;0;27;3;12;0
1923;716.1;133.9;36.3;1923-01-18;155;101;48;20;7;2;0;34;0;14;0
1924;623.4;62.9;48.7;1924-08-10;131;87;37;17;6;2;0;34;4;24;0
1925;801.2;34.0;51.6;1925-06-18;129;109;53;25;7;2;1;18;2;25;1
1926;666.6;53.3;53.0;1926-06-23;140;98;47;19;5;1;1;18;3;34;0
1927;730.0;82.0;38.9;1927-10-18;122;94;50;24;6;2;0;24;3;24;0
1928;554.5;20.2;30.6;1928-08-17;123;84;36;18;3;1;0;21;5;18;0
1929;537.2;118.3;22.5;1929-11-18;94;82;41;17;2;0;0;33;0;9;1
1930;605.6;46.1;36.9;1930-10-10;119;96;38;15;4;1;0;15;7;15;1
1931;607.1;104.6;18.2;1931-02-07;123;106;46;22;0;0;0;43;4;14;1
1932;753.1;86.8;68.5;1932-10-03;107;87;45;21;9;4;1;32;2;18;0
