#datum;y_ss;y_sx;y_sxd;y_dsf20;y_dsf80
1925;;;;;
1926;2010.9;14.3;1926-06-12;114;58
1927;2191.0;14.9;1927-06-10;108;71
1928;2222.8;14.9;1928-06-13;116;84
1929;2164.9;14.6;1929-07-02;108;69
1930;2194.3;14.9;1930-06-09;118;81
1931;2217.1;15.2;1931-06-28;119;86
1932;2206.5;15.2;1932-06-19;126;85
1933;2037.5;14.7;1933-06-04;132;76
1934;2130.3;15.4;1934-06-25;114;72
1935;2333.8;15.1;1935-06-18;98;85
1936;2043.3;15.0;1936-07-06;130;64
1937;1936.8;14.9;1937-06-22;134;64
1938;2093.8;15.0;1938-06-02;111;62
1939;2067.1;15.1;1939-06-29;120;68
1940;1879.4;14.9;1940-07-14;137;46
1941;1830.3;14.9;1941-06-04;150;56
1942;2054.7;14.9;1942-06-23;138;86
1943;2278.1;14.6;1943-05-19;107;83
1944;1839.1;14.8;1944-05-29;145;50
1945;2242.8;14.7;1945-06-30;111;88
1946;2370.2;14.1;1946-06-08;103;106
1947;2117.7;14.2;1947-06-27;122;75
1948;2075.5;14.2;1948-06-16;124;69
1949;2190.4;14.0;1949-07-14;102;93
1950;2230.2;14.2;1950-05-30;112;85
1951;2121.1;14.5;1951-06-17;111;72
1952;2169.3;15.0;1952-07-07;118;69
1953;2292.7;14.6;1953-07-18;100;88
1954;1958.3;15.3;1954-05-20;135;60
1955;1843.9;14.8;1955-07-01;139;48
1956;2135.3;14.8;1956-07-08;118;82
1957;2106.5;15.3;1957-06-16;115;71
1958;2202.9;14.7;1958-06-17;115;82
1959;2123.3;14.9;1959-06-08;116;90
1960;1982.6;14.7;1960-06-14;130;63
1961;2324.3;14.4;1961-07-04;104;92
1962;2080.8;14.4;1962-07-21;127;90
1963;2136.1;15.2;1963-06-28;109;70
1964;1923.1;14.5;1964-06-05;143;59
1965;2115.1;14.7;1965-07-07;118;66
1966;2128.2;14.8;1966-06-23;112;73
1967;2266.0;14.3;1967-06-24;106;98
1968;1978.3;14.0;1968-06-05;131;61
1969;1944.2;15.0;1969-07-02;138;57
1970;1860.6;14.2;1970-07-11;137;48
1971;2030.4;14.4;1971-06-14;120;56
1972;1814.2;14.6;1972-06-08;139;45
1973;2023.0;14.1;1973-07-17;124;67
1974;1965.4;14.1;1974-07-28;132;67
1975;2019.2;14.7;1975-06-27;117;66
1976;2030.0;15.0;1976-06-19;133;77
1977;2030.2;14.5;1977-06-09;121;61
1978;1894.1;14.8;1978-06-30;136;63
1979;2171.8;14.7;1979-06-25;121;80
1980;1868.6;15.4;1980-06-12;140;62
1981;2103.8;13.8;1981-07-23;99;56
1982;2021.5;14.0;1982-06-03;120;47
1983;2152.4;13.7;1983-06-30;110;73
1984;1935.5;14.1;1984-07-10;123;52
1985;2170.6;14.3;1985-06-26;121;89
1986;2234.9;14.0;1986-06-26;111;87
1987;2071.6;14.3;1987-07-07;126;74
1988;2264.8;14.3;1988-06-14;100;81
1989;2036.2;14.3;1989-06-09;111;63
1990;2247.9;14.1;1990-07-05;109;94
1991;2069.1;13.9;1991-06-09;111;55
1992;2250.4;13.0;1992-05-30;96;71
1993;2187.3;14.4;1993-06-19;107;72
1994;2193.0;13.6;1994-06-07;104;64
1995;1995.8;14.8;1995-06-30;127;70
1996;1931.0;14.0;1996-06-07;129;54
1997;2223.6;14.0;1997-06-16;110;78
1998;2150.2;14.0;1998-06-07;103;67
1999;1994.5;13.7;1999-06-27;124;61
2000;2314.1;13.5;2000-06-21;92;68
2001;2004.8;13.7;2001-06-26;117;51
2002;1925.9;13.3;2002-06-23;127;40
2003;2263.0;13.2;2003-07-16;93;66
2004;1853.6;13.4;2004-06-15;144;41
2005;2021.6;14.2;2005-06-24;125;81
2006;2069.0;14.9;2006-07-13;123;72
2007;2221.6;14.0;2007-07-15;114;85
2008;2218.9;14.2;2008-06-22;93;81
2009;2096.8;14.1;2009-07-14;111;66
2010;1903.1;14.3;2010-07-08;140;62
2011;2307.5;14.5;2011-06-21;107;95
2012;2440.0;14.5;2012-06-15;95;104
2013;;;;;
