#datum;y_ta;y_tax;y_taxd;y_tan;y_tand
1901;10.8;27.0;1901-07-30;-13.7;1901-01-09
1902;10.3;25.4;1902-09-01;-13.1;1902-12-15
1903;11.1;28.0;1903-07-20;-12.8;1903-01-20
1904;11.2;26.6;1904-07-26;-6.4;1904-12-28
1905;10.9;28.9;1905-08-05;-13.2;1905-01-01
1906;10.8;25.8;1906-08-04;-9.4;1906-12-31
1907;10.9;26.8;1907-07-02;-14.8;1907-01-22
1908;10.2;26.8;1908-06-05;-8.4;1908-01-04
1909;10.6;26.2;1909-07-26;-10.7;1909-01-24
1910;11.5;25.5;1910-07-23;-3.2;1910-12-24
1911;11.6;26.4;1911-07-28;-8.3;1911-02-07
1912;10.1;25.2;1912-07-29;-10.9;1912-01-15
1913;10.6;24.2;1913-06-04;-8.3;1913-01-15
1914;9.9;23.7;1914-07-22;-13.0;1914-01-27
1915;10.7;24.9;1915-07-09;-7.3;1915-02-03
1916;11.9;27.0;1916-07-10;-2.4;1916-02-04
1917;10.3;28.6;1917-08-02;-17.6;1917-02-10
1918;10.8;29.2;1918-07-18;-8.5;1918-01-04
1919;10.0;24.4;1919-07-08;-8.4;1919-02-11
1920;10.3;24.8;1920-07-09;-4.7;1920-10-30
1921;10.4;27.8;1921-08-12;-12.1;1921-12-01
1922;10.5;28.1;1922-08-09;-11.2;1922-02-13
1923;11.8;28.0;1923-08-11;-8.5;1923-12-30
1924;10.5;27.7;1924-07-05;-8.4;1924-01-02
1925;11.4;25.6;1925-07-30;-12.9;1925-12-09
1926;11.8;24.9;1926-08-22;-11.1;1926-01-12
1927;11.9;29.3;1927-08-03;-16.4;1927-12-21
1928;11.6;32.7;1928-07-17;-10.4;1928-01-03
1929;10.3;29.6;1929-08-10;-20.5;1929-02-10
1930;12.2;28.3;1930-06-27;-4.5;1930-01-23
1931;10.9;31.3;1931-07-15;-9.8;1931-02-10
1932;10.7;28.5;1932-07-08;-15.8;1932-02-14
1933;10.2;30.1;1933-08-11;-13.7;1933-12-10
1934;12.7;27.5;1934-08-04;-7.0;1934-02-05
1935;11.4;30.0;1935-06-28;-15.6;1935-02-11
1936;12.0;30.3;1936-07-28;-10.8;1936-02-11
1937;11.9;27.0;1937-08-14;-9.8;1937-01-26
1938;11.5;29.3;1938-07-09;-15.7;1938-01-05
1939;11.9;31.6;1939-07-22;-10.5;1939-12-30
1940;9.0;25.4;1940-07-26;-15.9;1940-02-15
1941;10.2;26.8;1941-07-14;-9.9;1941-12-29
1942;10.5;26.8;1942-07-10;-21.8;1942-01-23
1943;12.2;30.4;1943-08-22;-7.8;1943-01-12
1944;11.7;29.3;1944-09-01;-7.4;1944-12-28
1945;12.7;31.7;1945-07-27;-11.0;1945-01-29
1946;11.9;32.8;1946-08-19;-9.7;1946-12-19
1947;11.5;29.1;1947-08-05;-16.8;1947-01-07
1948;11.2;27.5;1948-08-10;-9.2;1948-12-28
1949;11.5;27.4;1949-07-16;-9.9;1949-02-03
1950;11.8;32.2;1950-07-05;-12.9;1950-02-03
1951;12.0;25.9;1951-08-05;-5.0;1951-12-24
1952;11.5;29.9;1952-08-15;-4.9;1952-01-29
1953;11.0;26.0;1953-07-29;-8.2;1953-12-27
1954;10.1;25.8;1954-08-15;-13.7;1954-01-03
1955;10.4;25.3;1955-07-21;-6.4;1955-03-04
1956;9.4;26.8;1956-08-28;-13.8;1956-02-16
1957;10.6;29.7;1957-07-07;-10.0;1957-01-20
1958;10.8;28.1;1958-08-02;-11.3;1958-01-28
1959;10.5;26.8;1959-07-12;-7.4;1959-01-19
1960;10.5;26.6;1960-07-20;-12.5;1960-01-16
1961;11.4;28.6;1961-08-10;-10.2;1961-12-16
1962;9.7;26.5;1962-06-24;-10.4;1962-12-23
1963;9.7;27.8;1963-06-28;-15.0;1963-01-23
1964;9.6;25.9;1964-07-22;-16.4;1964-01-21
1965;9.7;27.5;1965-06-27;-9.2;1965-02-07
1966;10.9;24.8;1966-08-15;-9.4;1966-01-21
1967;10.8;26.2;1967-08-02;-12.3;1967-01-11
1968;10.6;28.0;1968-07-09;-12.0;1968-01-11
1969;9.8;26.0;1969-07-27;-15.9;1969-01-12
1970;10.1;25.5;1970-08-07;-7.9;1970-01-20
1971;10.6;28.0;1971-08-07;-8.8;1971-01-04
1972;10.4;26.2;1972-08-16;-10.6;1972-01-17
1973;10.3;27.2;1973-07-17;-9.2;1973-12-03
1974;10.7;27.4;1974-08-03;-3.0;1974-12-24
1975;11.0;24.1;1975-08-11;-5.1;1975-11-25
1976;10.0;26.1;1976-07-20;-8.3;1976-12-31
1977;10.8;25.6;1977-06-14;-6.6;1977-12-21
1978;9.8;25.3;1978-08-07;-9.7;1978-02-22
1979;10.9;26.7;1979-08-01;-9.3;1979-01-07
1980;9.3;24.7;1980-06-14;-13.5;1980-01-14
1981;10.8;28.3;1981-08-03;-8.1;1981-01-09
1982;10.8;26.2;1982-06-26;-10.2;1982-01-14
1983;11.3;27.3;1983-07-28;-6.9;1983-12-13
1984;9.9;25.9;1984-07-13;-5.9;1984-12-27
1985;9.8;28.1;1985-07-29;-15.4;1985-02-13
1986;10.4;26.4;1986-08-12;-11.2;1986-02-28
1987;10.0;27.3;1987-07-19;-14.4;1987-01-12
1988;10.8;29.1;1988-07-06;-9.9;1988-11-24
1989;11.3;27.8;1989-07-09;-6.9;1989-01-05
1990;11.5;27.0;1990-07-31;-9.5;1990-01-08
1991;10.3;27.5;1991-07-13;-10.4;1991-02-01
1992;11.8;29.0;1992-08-28;-8.6;1992-12-31
1993;10.6;28.0;1993-08-05;-10.0;1993-01-06
1994;12.1;28.6;1994-07-31;-6.7;1994-02-14
1995;10.7;26.1;1995-07-23;-7.9;1995-12-29
1996;9.6;26.8;1996-06-11;-13.4;1996-12-31
1997;10.4;24.9;1997-06-29;-8.7;1997-01-01
1998;11.0;28.6;1998-08-04;-9.0;1998-12-25
1999;10.9;26.8;1999-07-06;-9.8;1999-12-25
2000;12.3;29.6;2000-08-20;-6.9;2000-01-25
2001;11.0;28.0;2001-08-04;-11.2;2001-12-15
2002;12.0;28.3;2002-06-24;-10.1;2002-01-04
2003;11.4;28.4;2003-08-29;-11.4;2003-01-12
2004;10.7;28.3;2004-07-22;-7.9;2004-01-06
2005;10.3;26.8;2005-07-28;-9.3;2005-02-08
2006;11.3;28.0;2006-06-27;-10.7;2006-01-25
2007;12.3;31.9;2007-07-20;-6.0;2007-12-30
2008;12.1;27.5;2008-08-15;-7.8;2008-01-04
2009;11.9;27.6;2009-07-23;-10.6;2009-12-20
2010;10.6;27.8;2010-07-23;-9.6;2010-01-28
2011;11.6;29.7;2011-07-10;-6.1;2011-02-01
2012;12.2;30.6;2012-08-06;-12.6;2012-02-09
2013;11.6;29.6;2013-07-29;-3.6;2013-01-26
2014;12.3;27.6;2014-06-10;-10.0;2014-12-31
2015;12.3;29.5;2015-08-13;-7.6;2015-01-01
2016;11.8;27.5;2016-06-24;-9.2;2016-01-04
2017;12.0;29.8;2017-08-04;-10.8;2017-01-07
2018;12.6;26.4;2018-07-30;-10.6;2018-03-01
2019;12.9;27.5;2019-08-12;-4.0;2019-01-07
2020;12.4;27.9;2020-07-30;-3.3;2020-01-23
