#datum;y_rs;y_rsh;y_rx;y_rxd;y_dr01;y_dr1;y_dr5;y_dr10;y_dr20;y_dr30;y_dr50;y_drho;y_drjeg;y_drziv;y_dron
1901;613.7;80.6;28.0;1901-07-24;109;84;42;19;5;0;0;28;4;34;0
1902;594.4;67.4;30.8;1902-09-13;120;89;38;14;4;1;0;22;3;16;0
1903;560.1;27.7;40.2;1903-06-22;113;79;33;17;6;3;0;19;1;21;0
1904;564.4;59.8;62.0;1904-02-11;97;74;32;14;5;3;1;23;2;10;0
1905;550.2;22.3;31.3;1905-05-18;109;82;37;19;5;1;0;18;3;23;0
1906;575.8;100.8;37.0;1906-09-12;106;83;36;19;4;2;0;30;2;22;0
1907;346.1;36.2;23.8;1907-06-04;101;71;21;8;1;0;0;24;0;19;1
1908;572.0;132.4;42.5;1908-08-08;96;78;35;16;7;1;0;30;6;24;0
1909;525.5;72.3;29.4;1909-05-27;114;93;39;13;2;0;0;27;3;21;0
1910;666.4;59.3;37.4;1910-06-18;128;103;42;18;6;3;0;19;3;27;0
1911;431.1;56.0;32.1;1911-08-14;101;75;29;13;2;1;0;30;3;23;0
1912;598.4;104.6;21.0;1912-01-07;136;105;44;16;1;0;0;20;2;22;1
1913;398.7;61.3;27.0;1913-06-25;104;85;25;8;3;0;0;24;2;23;0
1914;550.1;32.4;38.8;1914-07-17;117;86;32;17;5;2;0;13;2;23;0
1915;771.2;56.8;37.3;1915-07-19;161;121;50;18;6;1;0;22;4;16;0
1916;558.6;22.6;39.8;1916-04-14;140;97;32;14;4;1;0;11;5;11;0
1917;461.0;129.6;25.3;1917-01-12;123;89;35;10;2;0;0;36;1;9;1
1918;591.7;53.5;30.8;1918-12-19;124;93;37;17;5;1;0;23;5;23;0
1919;785.8;75.4;44.5;1919-06-24;174;121;50;22;7;1;0;34;3;18;0
1920;526.9;49.1;29.5;1920-07-28;99;77;33;15;5;0;0;16;3;29;1
1921;387.5;78.8;16.5;1921-08-25;98;69;30;10;0;0;0;25;0;17;0
1922;608.4;101.8;37.6;1922-06-19;107;88;45;21;3;1;0;29;1;17;1
1923;482.5;85.7;24.7;1923-08-18;122;89;33;14;1;0;0;30;0;15;0
1924;590.2;45.6;60.0;1924-08-19;86;75;39;16;7;3;1;26;1;11;0
1925;679.6;64.5;42.0;1925-06-26;124;92;42;16;7;4;0;17;6;15;1
1926;550.4;32.3;32.0;1926-09-13;115;81;37;17;3;1;0;11;4;12;0
1927;609.8;65.7;30.1;1927-10-17;109;89;42;20;5;1;0;19;0;9;0
1928;393.4;20.6;24.5;1928-10-12;108;71;32;10;1;0;0;20;4;9;2
1929;573.4;62.6;35.5;1929-07-01;118;85;36;18;6;1;0;28;1;11;0
1930;466.4;43.3;37.5;1930-10-06;113;81;33;13;1;1;0;14;2;9;0
1931;720.0;103.1;41.0;1931-08-31;137;106;45;19;8;3;0;31;7;32;0
1932;595.6;97.4;50.6;1932-07-24;128;75;38;18;3;3;1;39;1;18;2
1933;628.4;110.3;34.2;1933-09-21;139;98;41;19;4;1;0;39;0;24;0
