#datum;y_ss;y_sx;y_sxd;y_dsf20;y_dsf80
1927;2198.2;14.6;1927-07-03;115;77
1928;2186.7;14.8;1928-06-13;107;75
1929;2150.0;13.9;1929-07-03;108;72
1930;2295.8;14.3;1930-06-26;103;86
1931;2311.3;15.1;1931-06-28;120;111
1932;2212.4;14.9;1932-06-18;127;99
1933;1860.1;14.4;1933-07-21;139;60
1934;2194.2;15.0;1934-06-24;116;76
1935;2434.6;15.1;1935-06-07;95;102
1936;2259.3;15.8;1936-07-06;112;89
1937;2074.7;15.2;1937-07-03;129;74
1938;2321.3;15.2;1938-07-15;102;89
1939;2081.6;15.2;1939-06-08;123;76
1940;2010.3;14.7;1940-07-06;129;66
1941;1934.3;15.5;1941-06-04;140;62
1942;2192.6;15.9;1942-07-12;127;96
1943;2366.3;14.8;1943-06-21;109;91
1944;1881.9;14.6;1944-07-08;148;61
1945;2152.9;15.4;1945-06-30;118;72
1946;2429.4;15.0;1946-07-05;106;102
1947;2096.2;14.8;1947-07-11;128;77
1948;2218.8;15.0;1948-06-14;111;83
1949;2249.0;14.8;1949-05-29;104;98
1950;2366.3;14.9;1950-06-23;105;97
1951;2233.1;15.0;1951-07-08;100;84
1952;2274.7;14.8;1952-07-07;114;94
1953;2437.6;14.8;1953-06-29;92;98
1954;2027.9;14.5;1954-06-14;128;69
1955;1951.2;14.7;1955-05-31;136;58
1956;2288.7;14.9;1956-07-01;110;102
1957;2261.2;15.0;1957-06-16;102;83
1958;2183.0;14.6;1958-07-13;118;88
1959;2208.2;14.6;1959-07-12;102;79
1960;2072.5;14.3;1960-06-13;128;71
1961;2434.3;14.7;1961-07-02;93;108
1962;2182.0;13.9;1962-05-30;114;94
1963;2346.9;14.7;1963-06-22;96;88
1964;2075.7;14.4;1964-06-06;135;78
1965;2204.1;14.7;1965-07-08;106;74
1966;2180.5;14.5;1966-06-22;113;77
1967;2196.6;13.7;1967-06-23;107;69
1968;2099.9;14.5;1968-06-06;115;67
1969;2032.0;14.7;1969-07-16;136;77
1970;1701.4;14.3;1970-06-20;150;31
1971;1945.8;14.1;1971-07-10;128;47
1972;1839.4;14.0;1972-06-08;123;30
1973;1991.1;14.5;1973-06-18;126;52
1974;1822.0;13.9;1974-06-03;144;42
1975;1975.8;13.3;1975-07-08;109;39
1976;1902.8;14.8;1976-07-02;138;43
1977;2018.6;15.1;1977-06-13;117;50
1978;1766.5;15.0;1978-06-01;144;45
1979;2074.8;14.8;1979-06-05;127;77
1980;1762.1;14.4;1980-05-12;137;47
1981;1984.8;13.8;1981-07-23;116;43
1982;1928.5;13.9;1982-06-03;124;36
1983;2070.5;14.0;1983-06-09;111;54
1984;1815.3;13.5;1984-07-12;130;35
1985;2068.3;14.3;1985-06-26;127;73
1986;2199.5;14.3;1986-06-17;112;74
1987;2004.8;14.6;1987-07-12;119;61
1988;2039.9;14.2;1988-06-04;114;55
1989;1847.9;14.4;1989-07-08;123;43
1990;2188.3;14.6;1990-05-30;115;84
1991;1917.3;14.2;1991-06-23;127;48
1992;2084.8;13.8;1992-07-02;116;50
1993;2002.5;14.5;1993-06-20;127;50
1994;2009.6;14.2;1994-06-22;115;46
1995;1857.3;14.0;1995-06-29;138;45
1996;1745.4;14.4;1996-06-06;150;40
1997;2063.3;14.3;1997-06-28;124;62
1998;2024.5;14.3;1998-07-19;120;60
1999;2023.0;14.2;1999-06-06;127;58
2000;2338.9;14.9;2000-06-19;97;80
2001;1891.6;14.1;2001-05-23;136;46
2002;1867.6;14.4;2002-06-23;139;42
2003;2302.0;14.8;2003-07-01;97;84
2004;2047.6;14.9;2004-06-15;134;83
2005;2142.4;15.2;2005-06-24;118;86
2006;2159.4;14.6;2006-06-13;125;79
2007;2329.0;15.0;2007-07-16;102;94
2008;2254.4;14.8;2008-07-11;96;78
2009;2241.5;15.0;2009-06-19;106;84
2010;2033.5;14.8;2010-06-09;135;79
2011;2478.1;15.1;2011-06-22;108;129
2012;2615.6;15.3;2012-06-18;91;132
2013;;;;;
