#datum;y_ta;y_tax;y_taxd;y_tan;y_tand
1901;10.4;27.0;1901-07-30;-18.2;1901-01-09
1902;10.0;27.1;1902-08-03;-16.3;1902-12-15
1903;11.1;28.7;1903-07-20;-15.3;1903-01-19
1904;11.1;28.1;1904-07-18;-7.9;1904-12-28
1905;10.8;29.2;1905-08-05;-14.9;1905-01-22
1906;10.8;28.1;1906-08-04;-10.4;1906-12-24
1907;10.7;27.4;1907-07-02;-15.7;1907-01-22
1908;10.1;28.8;1908-06-20;-9.1;1908-01-06
1909;11.0;27.7;1909-07-26;-9.8;1909-02-23
1910;11.6;27.0;1910-07-23;-3.9;1910-01-24
1911;11.6;28.9;1911-07-26;-12.7;1911-02-07
1912;10.1;26.8;1912-07-29;-13.1;1912-01-14
1913;10.6;24.5;1913-06-05;-11.3;1913-01-15
1914;10.0;26.0;1914-07-22;-14.0;1914-01-27
1915;10.7;25.3;1915-06-12;-11.6;1915-02-03
1916;11.8;27.8;1916-07-05;-2.8;1916-02-03
1917;11.1;29.7;1917-08-02;-15.0;1917-02-11
1918;11.4;27.8;1918-07-18;-7.8;1918-01-10
1919;10.8;26.9;1919-06-13;-8.7;1919-02-08
1920;11.7;28.1;1920-07-24;-4.6;1920-10-29
1921;12.0;30.8;1921-07-26;-5.0;1921-11-27
1922;10.6;29.9;1922-07-12;-15.4;1922-02-14
1923;12.5;28.3;1923-07-16;-10.7;1923-12-31
1924;10.9;28.7;1924-07-06;-10.2;1924-01-02
1925;11.8;26.3;1925-07-23;-12.4;1925-12-09
1926;12.2;24.8;1926-08-22;-9.2;1926-01-12
1927;12.0;29.7;1927-07-09;-15.1;1927-12-21
1928;11.3;31.5;1928-07-17;-15.5;1928-01-03
1929;10.5;28.3;1929-07-24;-19.6;1929-02-10
1930;12.4;29.6;1930-07-24;-5.1;1930-02-09
1931;10.9;30.4;1931-07-15;-7.6;1931-12-20
1932;10.6;28.7;1932-07-08;-18.9;1932-02-13
1933;10.1;29.1;1933-08-12;-13.7;1933-12-23
1934;12.7;28.8;1934-08-03;-6.8;1934-01-27
