#datum;y_rs;y_rsh;y_rx;y_rxd;y_dr01;y_dr1;y_dr5;y_dr10;y_dr20;y_dr30;y_dr50;y_drho;y_drjeg;y_drziv;y_dron
1901;563.0;83.1;27.0;1901-03-07;114;96;42;19;2;0;0;17;0;38;0
1902;788.6;107.4;48.7;1902-08-17;119;100;49;30;6;2;0;26;0;31;0
1903;837.5;173.1;38.8;1903-08-19;136;111;57;27;8;3;0;21;3;21;1
1904;848.4;149.7;50.1;1904-08-25;136;104;52;28;9;4;1;23;3;31;0
1905;736.1;79.5;34.0;1905-08-06;130;103;51;22;6;2;0;21;2;35;0
1906;824.9;119.4;47.3;1906-07-19;144;116;53;26;8;2;0;26;2;47;1
1907;691.5;66.2;28.0;1907-04-06;127;102;44;24;7;0;0;28;2;36;0
1908;496.5;99.9;23.8;1908-04-08;119;89;32;15;2;0;0;25;1;26;3
1909;622.6;87.3;31.6;1909-07-28;132;97;38;21;5;1;0;25;1;43;0
1910;890.2;157.8;69.0;1910-06-13;131;103;56;35;9;2;1;18;6;58;0
1911;629.2;70.7;35.5;1911-05-31;118;79;41;20;7;2;0;18;0;42;0
1912;720.5;81.5;25.0;1912-09-06;151;111;50;23;5;0;0;16;1;39;1
1913;750.5;83.3;62.1;1913-09-05;120;86;43;22;7;4;2;19;3;42;0
1914;736.9;51.5;40.2;1914-07-07;124;90;44;23;10;3;0;16;3;40;0
1915;923.8;72.8;49.6;1915-10-01;153;106;55;30;10;4;0;25;2;45;0
1916;798.6;75.2;36.6;1916-05-28;158;115;53;31;4;1;0;13;1;36;1
1917;545.5;122.8;42.0;1917-07-09;129;97;37;14;2;1;0;35;0;36;0
1918;764.8;81.7;40.3;1918-09-12;150;113;40;24;10;4;0;19;1;25;2
1919;589.3;81.2;22.0;1919-06-26;135;105;40;14;3;0;0;29;5;23;1
1920;492.3;95.4;26.5;1920-07-01;121;90;36;10;1;0;0;24;1;21;3
1921;446.7;35.5;23.5;1921-10-23;101;72;35;11;3;0;0;14;1;27;0
1922;575.4;73.4;36.7;1922-09-04;125;87;40;19;3;2;0;24;4;20;0
1923;650.7;57.2;25.0;1923-06-01;134;96;47;21;5;0;0;23;1;20;0
1924;428.1;16.2;44.0;1924-09-05;122;75;28;8;1;1;0;18;1;18;0
1925;608.1;10.8;58.8;1925-07-23;123;82;35;16;7;2;1;12;3;26;0
1926;695.3;71.5;74.2;1926-08-19;138;91;43;21;5;2;1;23;3;40;0
1927;622.3;35.5;35.0;1927-07-17;139;101;36;15;6;2;0;18;1;30;0
