#datum;y_ss;y_sx;y_sxd;y_dsf20;y_dsf80
1929;;;;;
1930;1788.9;14.3;1930-07-03;147;38
1931;1793.5;14.6;1931-06-28;145;28
1932;1815.4;14.1;1932-06-19;136;37
1933;1472.5;13.7;1933-07-07;168;18
1934;1715.0;14.9;1934-06-18;133;13
1935;1881.3;14.3;1935-06-14;131;34
1936;1602.7;14.1;1936-07-05;155;23
1937;1572.4;13.9;1937-05-30;165;28
1938;2037.9;14.6;1938-07-08;116;58
1939;1946.0;15.1;1939-06-08;124;61
1940;1775.2;15.0;1940-07-06;140;41
1941;1714.1;14.8;1941-06-25;152;44
1942;1804.6;14.9;1942-06-23;141;47
1943;1969.8;14.8;1943-07-15;121;56
1944;1656.1;14.6;1944-07-07;152;39
1945;2070.8;14.9;1945-06-20;122;55
1946;2075.7;13.5;1946-06-12;118;43
1947;1884.9;13.3;1947-08-05;137;28
1948;1894.8;14.0;1948-07-29;127;36
1949;2077.9;14.6;1949-06-09;107;59
1950;1990.3;14.9;1950-05-30;126;62
1951;1892.4;14.3;1951-06-15;126;47
1952;1936.9;14.8;1952-07-07;128;48
1953;2017.9;14.5;1953-06-25;113;59
1954;1687.6;14.0;1954-06-21;142;32
1955;1663.2;14.0;1955-07-18;148;29
1956;1805.7;14.1;1956-07-08;135;46
1957;1856.7;14.9;1957-06-10;135;56
1958;1843.2;13.8;1958-07-19;134;44
1959;1894.2;15.1;1959-06-06;128;61
1960;1656.2;14.3;1960-07-19;146;29
1961;1957.3;14.1;1961-07-03;119;58
1962;1775.1;14.5;1962-07-25;146;29
1963;1918.9;14.4;1963-07-15;131;46
1964;1841.1;15.1;1964-06-12;147;60
1965;1868.4;15.2;1965-06-29;127;45
1966;1844.2;15.0;1966-05-31;137;53
1967;2168.9;14.9;1967-06-23;102;74
1968;1878.8;15.4;1968-07-02;140;53
1969;1707.8;14.6;1969-06-09;157;36
1970;1651.2;14.3;1970-06-21;151;30
1971;1930.2;14.7;1971-07-09;124;52
1972;1627.5;14.6;1972-07-02;157;28
1973;1892.8;14.7;1973-07-17;130;52
1974;1638.7;14.0;1974-07-05;152;30
1975;1950.0;15.1;1975-06-06;125;58
1976;1844.8;15.0;1976-06-18;146;54
1977;1833.3;15.0;1977-06-02;134;49
1978;1785.7;14.9;1978-06-02;137;47
1979;1815.0;14.3;1979-05-27;147;53
1980;1748.2;14.9;1980-06-14;138;52
1981;1902.7;13.9;1981-06-11;114;40
1982;1807.1;13.6;1982-07-10;144;41
1983;1990.2;13.4;1983-05-20;116;42
1984;1634.2;13.7;1984-05-17;143;34
1985;1921.7;14.4;1985-07-06;129;51
1986;1938.0;14.7;1986-06-26;132;57
1987;1747.0;14.7;1987-07-07;144;45
1988;2006.7;14.3;1988-06-17;124;63
1989;1903.1;14.4;1989-06-09;117;40
1990;2039.6;14.2;1990-07-05;120;65
1991;1835.6;14.2;1991-07-06;118;41
1992;1937.2;13.6;1992-07-01;132;41
1993;1785.9;14.0;1993-07-01;130;32
1994;1901.7;13.8;1994-06-01;124;41
1995;1726.2;14.0;1995-06-29;151;38
1996;1691.4;13.9;1996-07-04;157;35
1997;1932.9;13.8;1997-07-04;123;47
1998;1878.9;13.5;1998-07-20;120;44
1999;1737.2;13.7;1999-06-05;143;32
2000;2028.9;13.6;2000-06-19;103;51
2001;1919.5;13.6;2001-07-31;127;51
2002;1829.5;14.7;2002-06-19;127;36
2003;2191.8;14.2;2003-07-19;98;68
2004;1743.2;14.1;2004-06-14;137;39
2005;1963.9;14.5;2005-06-19;113;57
2006;1945.8;14.3;2006-07-17;130;57
2007;2094.8;14.0;2007-07-16;106;70
2008;2004.4;13.9;2008-07-19;113;54
2009;2038.0;14.2;2009-06-12;122;64
2010;1811.2;14.8;2010-06-28;153;65
2011;2208.1;14.8;2011-06-29;118;93
2012;2194.4;14.8;2012-06-18;107;68
2013;;;;;
