#datum;y_ta;y_tax;y_taxd;y_tan;y_tand
1901;9.4;25.7;1901-07-29;-14.2;1901-01-09
1902;8.8;23.5;1902-08-07;-11.4;1902-12-15
1903;9.7;25.4;1903-07-18;-13.8;1903-01-23
1904;10.0;26.8;1904-08-07;-6.6;1904-12-28
1905;9.6;27.6;1905-07-02;-12.9;1905-01-02
1906;9.5;25.1;1906-08-03;-12.3;1906-12-31
1907;9.4;25.9;1907-07-01;-17.7;1907-01-22
1908;8.7;25.8;1908-07-13;-11.1;1908-01-04
1909;9.2;25.1;1909-07-26;-9.9;1909-01-25
1910;10.0;24.0;1910-07-22;-6.4;1910-01-24
1911;10.2;26.9;1911-07-27;-8.1;1911-01-15
1912;8.8;23.3;1912-07-28;-13.8;1912-01-19
1913;9.3;23.5;1913-06-02;-11.1;1913-01-15
1914;8.7;23.7;1914-07-22;-15.0;1914-01-27
1915;9.3;24.2;1915-07-08;-8.1;1915-11-28
1916;10.3;24.6;1916-08-17;-4.9;1916-02-11
1917;9.1;25.9;1917-07-31;-13.9;1917-02-09
1918;9.7;25.1;1918-07-17;-8.8;1918-01-04
1919;8.6;23.1;1919-08-21;-10.1;1919-02-11
1920;9.6;24.6;1920-07-18;-6.7;1920-10-30
1921;9.4;27.1;1921-07-29;-14.8;1921-12-01
1922;8.7;26.8;1922-07-12;-9.2;1922-02-07
1923;9.6;24.5;1923-08-10;-9.4;1923-12-31
1924;8.6;25.2;1924-07-05;-9.6;1924-01-25
1925;9.2;22.9;1925-07-22;-10.8;1925-12-09
1926;9.9;21.6;1926-07-07;-11.2;1926-01-12
1927;9.7;25.0;1927-06-04;-13.5;1927-12-21
1928;9.6;26.4;1928-07-17;-8.6;1928-01-03
1929;8.5;26.5;1929-07-25;-20.9;1929-02-10
1930;10.0;25.0;1930-07-06;-7.4;1930-02-10
1931;8.7;26.9;1931-07-15;-10.8;1931-12-19
1932;9.5;25.6;1932-08-15;-10.6;1932-02-10
1933;8.3;25.9;1933-08-11;-12.1;1933-12-15
