    Time;     r;   tn;    t;   tx
19010101;   2.0;-10.0; -5.7; -0.6
19010102;   0.0;-12.0; -9.4; -8.0
19010103;   1.0;-12.0; -8.9; -7.0
19010104;   0.0;-13.0;-10.8; -9.0
19010105;   0.0;-14.0;-10.6; -9.0
19010106;   2.0;-12.0; -9.6; -9.0
19010107;   4.0;-12.0; -7.7; -5.0
19010108;   0.0;-10.0; -8.5; -6.0
19010109;   0.0;-14.2;-12.7; -9.6
19010110;   0.0;-16.0; -9.4; -8.0
19010111;   0.0;-12.0; -9.5; -8.9
19010112;   2.0;-10.0; -7.0; -5.0
19010113;   0.0; -7.0; -4.2; -3.0
19010114;   0.0; -6.0; -3.6; -1.0
19010115;   0.0; -8.0; -5.1; -1.0
19010116;   0.0;-13.0; -6.0; -3.0
19010117;   0.0;-11.0; -5.0;  0.0
19010118;   0.0; -6.0; -2.7;  0.0
19010119;   0.0;-10.0; -6.9;  0.0
19010120;   0.0;-11.0; -7.3; -3.0
19010121;   1.3; -8.0;  0.0;  3.0
19010122;   0.0;  0.0;  2.8;  4.0
19010123;   0.0;  0.0;  4.5;  9.0
19010124;   0.0; -2.0;  1.5;  7.0
19010125;   0.0; -1.0;  0.9;  2.0
19010126;   8.0;  0.0;  2.0;  4.0
19010127;   0.0; -2.0;  2.4;  6.0
19010128;   1.8;  1.0;  4.3;  8.0
19010129;   0.0; -1.0;  1.4;  5.0
19010130;   9.5; -1.0;  0.1;  1.2
19010131;   8.0; -3.2; -2.0;  1.0
19010201;   0.0; -7.0; -3.5; -1.4
19010202;   3.0; -5.0;  1.0;  3.0
19010203;   1.0;  0.0;  1.7;  3.0
19010204;   0.0; -3.0;  1.8;  4.0
19010205;   2.3;  0.0;  3.4;  6.0
19010206;   0.0;  0.0;  3.6;  7.0
19010207;   3.0;  0.0;  3.3;  6.0
19010208;   4.0;  0.0;  2.0;  4.0
19010209;   0.7;  0.0;  1.2;  3.0
19010210;   0.0; -2.0;  2.1;  4.4
19010211;   0.0; -1.0; -0.1;  2.8
19010212;   0.0; -6.0; -3.8; -0.2
19010213;   0.0; -8.0; -4.3; -1.0
19010214;   0.0; -9.0; -5.9; -3.0
19010215;   0.0;-11.0; -7.9; -4.0
19010216;   0.0;-13.0; -7.9; -5.0
19010217;   0.0;-12.0; -6.3; -3.0
19010218;   0.0;-10.0; -5.2; -3.0
19010219;   1.0; -9.0; -6.3; -4.0
19010220;   0.2; -9.0; -5.3; -3.0
19010221;   0.0; -8.0; -5.9; -2.0
19010222;   0.0; -9.0; -4.9; -1.0
19010223;   0.0;-10.0; -4.7;  0.0
19010224;   0.0; -8.0; -1.2;  3.0
19010225;   0.1; -5.0; -0.2;  4.0
19010226;   0.0; -4.0;  0.0;  3.0
19010227;   0.0; -6.0; -0.2;  3.0
19010228;   0.0; -5.0; -0.7;  2.0
19010301;   0.0; -0.4;  5.0; 11.0
19010302;  10.0;  3.0;  6.4; 11.0
19010303;  10.0;  1.0;  5.8; 10.0
19010304;  18.0;  3.0;  4.8;  7.0
19010305;   0.0;  2.0;  5.3;  8.0
19010306;   0.0;  2.0;  4.9; 11.0
19010307;   7.0;  2.0;  3.6;  6.0
19010308;  10.0;  1.0;  5.8; 10.0
19010309;   3.5;  0.0;  4.3;  6.0
19010310;   0.0;  1.0;  4.8;  7.0
19010311;   6.7;  4.0;  7.4; 10.0
19010312;   0.0;  3.0;  8.1; 12.0
19010313;   8.0;  4.0;  8.9; 10.0
19010314;   0.0;  4.0;  9.2; 14.0
19010315;   0.0;  4.0;  9.8; 15.0
19010316;   0.4;  6.0;  9.1; 14.0
19010317;   0.0;  5.0; 10.9; 15.0
19010318;   0.0;  5.0; 11.2; 15.0
19010319;   0.0;  6.0; 11.4; 14.0
19010320;   0.5;  7.0; 13.3; 15.0
19010321;   3.5;  6.0;  9.8; 16.0
19010322;   0.0;  1.0;  2.1;  7.4
19010323;   0.0; -1.0;  1.3;  3.0
19010324;   0.0; -2.0;  2.4;  6.0
19010325;   0.0;  0.0;  2.5;  4.0
19010326;   3.0;  1.0;  5.4;  8.0
19010327;   8.6; -1.0;  0.7;  6.2
19010328;   0.0; -1.0;  2.5;  6.0
19010329;   2.7; -2.0;  2.2;  5.0
19010330;   0.0; -2.0;  3.4;  7.0
19010331;   0.0;  1.0;  8.8; 14.0
19010401;   0.0;  5.0; 12.2; 18.0
19010402;   0.0;  6.0; 12.4; 18.0
19010403;   0.0;  6.0; 14.4; 18.0
19010404;   0.0;  9.0; 16.6; 23.0
