#datum;y_ss;y_sx;y_sxd;y_dsf20;y_dsf80
1921;2232.8;14.8;1921-06-08;106;75
1922;1923.3;14.5;1922-07-06;140;58
1923;2008.1;14.4;1923-07-12;129;51
1924;1967.1;14.2;1924-06-27;125;52
1925;1945.8;13.4;1925-06-20;120;36
1926;2006.6;14.8;1926-07-18;118;49
1927;2153.2;14.6;1927-07-03;112;73
1928;2156.9;14.9;1928-06-14;125;82
1929;2211.3;14.4;1929-07-19;109;68
1930;2314.9;15.0;1930-07-02;100;86
1931;2213.5;15.0;1931-05-29;110;80
1932;2265.1;15.0;1932-07-05;117;90
1933;2015.6;15.4;1933-06-20;125;68
1934;2109.1;14.9;1934-06-01;105;50
1935;2283.1;15.0;1935-06-13;100;61
1936;2017.6;14.9;1936-07-09;129;61
1937;2024.7;15.4;1937-06-07;125;58
1938;2128.7;14.8;1938-06-02;126;73
1939;2091.6;15.0;1939-06-29;122;74
1940;1973.1;15.0;1940-07-02;136;60
1941;1815.6;14.9;1941-06-19;144;56
1942;2143.2;14.8;1942-07-06;125;78
1943;2275.5;14.8;1943-06-06;112;89
1944;1863.3;14.7;1944-06-25;155;64
1945;2190.0;14.6;1945-06-20;118;77
1946;2299.1;14.5;1946-07-04;108;88
1947;2055.5;14.8;1947-06-25;128;63
1948;2169.0;15.1;1948-06-16;110;69
1949;2091.2;14.8;1949-05-29;116;68
1950;2248.1;14.9;1950-07-10;110;75
1951;2144.0;14.5;1951-06-28;110;68
1952;2058.8;14.7;1952-07-11;126;70
1953;2230.3;14.6;1953-07-25;110;79
1954;1906.3;14.5;1954-06-09;130;53
1955;1806.9;14.8;1955-06-16;139;38
1956;2190.1;15.1;1956-05-31;108;72
1957;2205.7;15.1;1957-06-17;102;79
1958;2017.7;15.3;1958-06-08;129;73
1959;2054.5;14.8;1959-07-12;123;66
1960;2024.4;14.5;1960-07-11;119;54
1961;2379.2;15.0;1961-06-29;95;89
1962;2091.0;14.4;1962-07-20;123;79
1963;2257.8;15.0;1963-06-18;113;86
1964;2060.7;14.7;1964-06-28;136;85
1965;2134.9;14.9;1965-06-16;115;87
1966;2043.8;15.0;1966-06-15;137;81
1967;2294.5;15.0;1967-06-27;115;103
1968;2070.1;14.7;1968-07-01;123;71
1969;1938.0;14.0;1969-07-16;130;56
1970;1714.6;15.0;1970-06-21;157;47
1971;1828.8;14.7;1971-07-10;147;37
1972;1864.5;14.4;1972-06-17;125;46
1973;2041.2;14.2;1973-06-13;122;61
1974;1799.5;14.1;1974-05-19;148;43
1975;2039.7;14.7;1975-06-27;111;49
1976;1984.0;15.3;1976-07-02;123;60
1977;1947.0;14.8;1977-07-13;135;52
1978;1705.4;14.8;1978-06-01;147;34
1979;1910.7;15.2;1979-05-29;145;70
1980;1688.2;14.9;1980-05-23;152;44
1981;1901.5;13.1;1981-07-02;127;35
1982;2015.3;14.1;1982-06-01;119;42
1983;1903.9;13.4;1983-06-07;121;25
1984;1790.3;13.4;1984-07-11;139;32
1985;1831.6;14.3;1985-06-04;141;40
1986;2184.6;14.5;1986-06-17;111;54
1987;2022.1;15.0;1987-07-12;122;58
1988;1934.6;14.6;1988-07-11;129;56
1989;1933.4;14.7;1989-07-05;128;55
1990;2147.8;14.9;1990-07-12;107;68
1992;2056.5;13.6;1992-07-09;120;44
1993;2024.1;14.1;1993-06-10;122;56
1994;2144.1;14.5;1994-06-07;115;67
1995;1983.4;13.8;1995-07-28;122;62
1996;1880.1;15.0;1996-06-07;132;63
1997;2113.8;15.0;1997-06-28;123;77
1998;1971.2;15.0;1998-07-21;123;70
1999;2089.0;14.7;1999-07-05;117;63
2000;2246.7;14.8;2000-06-10;97;66
2001;1920.4;14.2;2001-05-24;136;52
2002;1951.2;14.7;2002-06-20;127;56
2003;2282.2;14.8;2003-06-11;106;89
2004;2149.9;15.0;2004-06-28;118;82
2005;2134.7;15.1;2005-06-24;118;78
2006;2120.7;14.7;2006-07-05;125;88
2007;2350.1;15.0;2007-07-07;106;97
2008;2218.5;14.7;2008-06-02;106;87
2009;2219.4;15.1;2009-06-14;129;87
2010;2026.1;14.8;2010-06-06;132;75
