#datum;y_ta;y_tax;y_taxd;y_tan;y_tand
1901;9.7;28.0;1901-07-30;-18.6;1901-01-09
1902;8.5;25.7;1902-07-01;-22.4;1902-12-13
1903;10.1;27.2;1903-07-20;-11.3;1903-01-24
1904;9.7;26.7;1904-07-18;-10.2;1904-01-12
1905;9.5;28.0;1905-08-04;-16.5;1905-01-02
1906;9.9;26.4;1906-07-19;-11.0;1906-01-01
1907;8.8;26.8;1907-07-01;-19.4;1907-01-22
1908;8.4;27.0;1908-06-21;-11.6;1908-01-02
1909;9.5;26.3;1909-08-03;-12.1;1909-01-29
1910;10.4;27.4;1910-07-23;-3.8;1910-01-24
1911;10.1;26.9;1911-07-27;-13.9;1911-02-09
1912;8.6;25.3;1912-07-29;-17.1;1912-01-16
1913;8.9;24.5;1913-06-05;-12.3;1913-01-15
1914;8.7;23.9;1914-07-22;-13.9;1914-01-24
1915;9.2;24.8;1915-07-08;-13.7;1915-11-29
1916;10.2;27.2;1916-07-05;-6.3;1916-02-22
1917;9.4;27.8;1917-08-01;-17.1;1917-02-09
1918;9.9;26.1;1918-06-18;-7.4;1918-01-04
1919;9.4;24.1;1919-07-08;-10.1;1919-02-08
1920;9.5;24.7;1920-07-19;-8.8;1920-10-30
1921;9.6;27.7;1921-08-12;-9.0;1921-12-12
1922;8.3;26.7;1922-07-12;-16.1;1922-02-15
1923;10.3;26.5;1923-07-16;-17.6;1923-12-31
1924;8.9;28.0;1924-07-05;-14.0;1924-01-14
1925;9.6;23.2;1925-08-19;-15.3;1925-12-07
1926;10.5;24.0;1926-07-14;-11.1;1926-01-12
1927;10.0;26.6;1927-06-04;-18.0;1927-12-22
1928;9.3;27.2;1928-07-17;-16.1;1928-01-03
1929;8.9;28.4;1929-08-02;-22.2;1929-02-10
1930;10.5;27.7;1930-07-24;-5.7;1930-02-09
1931;9.2;28.9;1931-07-15;-11.2;1931-12-20
1932;9.3;27.1;1932-07-13;-15.4;1932-02-13
1933;8.5;27.5;1933-07-16;-14.4;1933-12-19
1934;11.2;27.7;1934-07-22;-10.7;1934-01-08
1935;9.9;28.5;1935-08-14;-17.2;1935-02-12
1936;10.5;29.0;1936-07-28;-12.0;1936-02-11
1937;10.8;26.4;1937-06-12;-12.8;1937-01-24
1938;10.1;27.5;1938-07-09;-17.1;1938-01-04
1939;10.4;29.7;1939-07-22;-13.0;1939-12-28
1940;7.6;24.1;1940-07-08;-18.6;1940-02-17
1941;8.8;24.9;1941-07-14;-12.3;1941-12-31
1942;8.8;25.7;1942-08-04;-23.9;1942-01-24
1943;9.9;27.6;1943-08-22;-13.7;1943-01-11
1944;10.0;26.1;1944-08-31;-8.3;1944-01-16
1945;10.2;27.8;1945-07-28;-13.1;1945-01-23
1946;10.8;29.3;1946-08-19;-11.7;1946-12-19
1947;10.1;28.9;1947-07-08;-17.5;1947-01-31
1948;10.0;28.6;1948-08-10;-10.9;1948-11-29
