#min ev;max ev;honap;ma_rs;ma_rsh;ma_rsx;ma_rsxd;ma_rsn;ma_rsnd;ma_rx;ma_rxd
1901;2010;01;31.9;19.5;105.4;1915-01;3.3;1925-01;23.8;1982-01-02
1901;2010;02;31.9;16.9;87.4;1908-02;0.3;1976-02;29.2;1915-02-23
1901;2010;03;31.8;9.8;100.4;1919-03;1.1;1953-03;45.4;1979-03-27
1901;2010;04;45.5;5.7;161.6;2006-04;3.1;2007-04;65.3;2006-04-20
1901;2010;05;59.5;2.3;161.0;1985-05;6.9;1950-05;64.7;1912-05-17
1901;2010;06;72.9;0.0;175.9;1974-06;19.4;1962-06;55.0;1951-06-26
1901;2010;07;63.1;0.0;178.0;2004-07;4.9;1928-07;70.0;1977-07-08
1901;2010;08;58.1;0.0;232.3;1970-08;6.7;1943-08;80.3;1970-08-09
1901;2010;09;43.4;0.6;127.6;1906-09;0.0;1986-09;56.8;1976-09-04
1901;2010;10;43.2;2.8;145.3;1974-10;1.4;1995-10;51.8;1981-10-01
1901;2010;11;47.6;10.9;141.8;1919-11;0.0;1902-11;32.1;2004-11-13
1901;2010;12;42.8;18.0;130.3;1906-12;0.8;1972-12;31.9;2010-12-01
