#min ev;max ev;honap;ma_ss;ma_ssx;ma_ssxd;ma_ssn;ma_ssnd;ma_sx;ma_sxd
1921;2010;01;58.5;109.5;1950-01;15.0;1923-01;9.0;2008-01-28
1921;2010;02;85.3;156.4;1990-02;23.5;1947-02;10.1;2004-02-20
1921;2010;03;149.2;222.2;1997-03;60.8;1944-03;11.7;2005-03-14
1921;2010;04;194.1;316.4;2009-04;114.6;1958-04;13.7;1936-04-29
1921;2010;05;253.6;332.6;1937-05;166.7;1978-05;15.2;1979-05-29
1921;2010;06;267.7;361.8;1930-06;178.8;1985-06;15.4;1937-06-07
1921;2010;07;296.2;379.8;1928-07;206.9;1980-07;15.3;1976-07-02
1921;2010;08;275.8;342.9;2008-08;194.8;1977-08;14.3;2003-08-08
1921;2010;09;200.9;266.5;2009-09;85.4;1996-09;13.1;2005-09-02
1920;2010;10;155.0;235.3;1965-10;58.7;1974-10;10.8;1964-10-04
1920;2010;11;74.2;136.4;1926-11;2.5;1978-11;9.1;2009-11-01
1920;2010;12;47.4;85.5;2003-12;14.3;1981-12;8.1;1927-12-07
