#min ev;max ev;honap;ma_taa;ma_tax;ma_taxd;ma_tan;ma_tand
1901;2010;01;-2.3;4.0;1936-01;-10.2;1942-01
1901;2010;02;-0.3;5.0;1974-02;-8.4;1956-02
1901;2010;03;4.8;9.0;2007-03;-0.1;1907-03
1901;2010;04;10.6;14.7;2009-04;6.6;1929-04
1901;2010;05;15.9;19.7;2003-05;10.5;1919-05
1901;2010;06;19.0;22.5;1964-06;16.1;1985-06
1901;2010;07;20.8;23.4;1995-07;17.6;1913-07
1901;2010;08;20.0;24.9;1992-08;16.9;1940-08
1901;2010;09;15.6;19.4;1994-09;11.5;1912-09
1901;2010;10;10.1;14.7;1966-10;5.5;1920-10
1901;2010;11;4.5;9.9;1926-11;-2.0;1908-11
1901;2010;12;-0.0;4.5;1960-12;-7.2;1902-12
